"Geographic Area","County Name","Gender","Age","Year and Quarter","Time Period Dates","Year","Drug Screened Admissions ","Average TCU Drug Screen Score","New Admissions with Opioid Use","Percent of New Admissions with Opioid Use","Admissions with Diagnosed Substance Abuse Problem","Percent of Admissions with Diagnosed Substance Abuse Problem","Admissions with Opioid use in past 12 months","Percent of Admissions with Opioid use in past 12 months","State FIPS","County FIPS","Latitude","Longitude","Georeferenced Latitude &Longitude"
"State","Commonwealth","Female","40 to 44 years","2022 Q2","4/1/2022-6/30/2022","2022","30","6.6","13","43.0","25","83.0","17","56.0","42","000","39.346129)","-75.16775513",
"State","Commonwealth","All","35 to 39 years","Annual","1/1/2020-12-31-2020","2020","742","5.4","303","40.0","615","82.0","289","38.0","42","000","39.346129)","-75.16775513",
"State","Commonwealth","Female","0 to 11 years","2021 Q4","10/1/2021-12/31/2021","2021","0","0.0","0","0.0","0","0.0","0","0.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","30 to 34 years","2019 Q4","10/1/2019-12/31/2019","2019","327","4.9","97","29.7","262","80.1","105","32.1","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","0 to 11 years","Annual","1/1/2021-12/31/2021","2021","0","0.0","0","0.0","0","0.0","0","0.0","42","000","39.346129)","-75.16775513",
"State","Commonwealth","All","45 to 49 years","2016 Q3","7/1/2016-9/30/2016","2016","175","4.2","41","23.4","113","64.6","54","30.9","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Jefferson","Female","All (0 to 99 years)","2020 Q4","10/1/2020-12/31/2020","2020","5","8.0","3","60.0","5","100.0","3","60.0","42","065","41.13139091","-79.00101814","POINT (-79.00101814 41.13139091)"
"County","Lawrence","Male","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","9","3.8","1","11.1","6","66.7","1","11.1","42","073","40.99325035","-80.33754114","POINT (-80.33754114 40.99325035)"
"County","York","Female","All (0 to 99 years)","2017 Annual","1/1/2017-12/31/2017","2017","22","6.0","15","68.2","19","86.4","17","77.3","42","133","39.92192531","-76.72576052","POINT (-76.72576052 39.92192531)"
"County","Centre","All","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","4","7.3","2","50.0","4","100.0","2","50.0","42","027","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Mercer","Male","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","16","3.9","4","25.0","12","75.0","5","31.3","42","085","41.30237777","-80.26009411","POINT (-80.26009411 41.30237777)"
"County","Monroe","Male","All (0 to 99 years)","2021 Q2","4/1/2021-6/30/2021","2021","40","6.3","24","60.0","33","82.0","18","45.0","42","089","41.06091787","-75.34083603","POINT (-75.34083603 41.06091787)"
"County","Susquehanna","Male","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","1","0.0","0","0.0","0","0.0","0","0.0","42","115","41.8205686","-75.80250303","POINT (-75.80250303 41.8205686)"
"County","Fulton","Female","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","1","0.0","0","0.0","0","0.0","0","0.0","42","057","39.92487511","-78.11485045","POINT (-78.11485045 39.92487511)"
"County","Elk","Female","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","3","8.0","1","33.0","3","100.0","2","66.0","42","047","41.42819416","-78.6494751","POINT (-78.6494751 41.42819416)"
"County","Juniata","All","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","4","3.0","1","25.0","2","50.0","1","25.0","42","067","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"State","Commonwealth","Male","12 to 19 years","2019 Annual","1/1/2019-12/31/2019","2019","223","3.2","17","7.6","151","67.7","34","15.2","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","40 to 44 years","2020 Q4","10/1/2020-12/31/2020","2020","11","4.8","0","0.0","8","72.0","5","45.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Somerset","Male","All (0 to 99 years)","2018 Q3","7/1/2018-9/30/2018","2018","9","6.3","3","33.3","9","100.0","4","44.4","42","111","39.97146299","-79.03100206","POINT (-79.03100206 39.97146299)"
"State","Commonwealth","Male","50 to 55 years","2017 Q4","10/1/2017-12/31/2017","2017","118","4.6","14","11.9","88","74.6","24","20.3","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Union","Male","All (0 to 99 years)","2019 Annual","1/1/2019-12/31/2019","2019","27","5.6","8","29.6","25","92.6","8","29.6","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"County","Sullivan","Female","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","1","0.0","0","0.0","0","0.0","0","0.0","42","113","41.4480994","-76.5147922","POINT (-76.5147922 41.4480994)"
"County","York","Female","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","5","5.8","0","0.0","4","80.0","2","40.0","42","133","39.92192531","-76.72576052","POINT (-76.72576052 39.92192531)"
"State","Commonwealth","Male","56 to 99 years","2017 Annual","1/1/2017-12/31/2017","2017","438","3.5","50","11.4","255","58.2","68","15.5","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Mifflin","Male","All (0 to 99 years)","Annual","1/1/2021-12/31/2021","2021","36","6.9","24","66.0","35","97.0","16","44.0","42","087","40.61274928","-77.62003326","POINT (-77.62003326 40.61274928)"
"County","Pike","All","All (0 to 99 years)","2018 Q1","1/1/2018-3/31/2018","2018","16","4.3","5","31.3","11","68.8","5","31.3","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"County","Chester","All","All (0 to 99 years)","2020 Q2","4/1/2020-6/30/2020","2020","10","8.1","7","70.0","10","100.0","5","50.0","42","029","39.97487056","-75.75626498","POINT (-75.75626498 39.97487056)"
"State","Commonwealth","Male","40 to 44 years","2019 Q1","1/1/2019-3/31/2019","2019","185","4.9","42","22.7","137","74.1","51","27.6","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Union","All","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","19","4.3","1","5.0","14","73.0","7","36.0","42","119","40.96473131","-77.06415558","POINT (-77.06415558 40.96473131)"
"County","Juniata","Male","All (0 to 99 years)","2016 Q1","1/1/2016-3/31/2016","2016","4","8.3","3","75.0","4","100.0","3","75.0","42","067","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"County","Philadelphia","All","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","412","3.2","69","16.7","223","54.1","86","20.9","42","101","40.00444354","-75.140236","POINT (-75.140236 40.00444354)"
"County","Juniata","Male","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","3","3.0","1","33.0","1","33.0","1","33.0","42","067","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"County","Clinton","Male","All (0 to 99 years)","2017 Q3","7/1/2017-9/30/2017","2017","4","4.5","0","0.0","3","75.0","2","50.0","42","035","41.23286274","-77.6428376","POINT (-77.6428376 41.23286274)"
"County","Venango","All","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","26","4.5","5","19.2","19","73.1","7","26.9","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
"County","Cambria","All","All (0 to 99 years)","Annual","1/1/2021-12/31/2021","2021","62","7.2","38","61.0","59","95.0","43","69.0","42","021","40.49127491","-78.71894073","POINT (-78.71894073 40.49127491)"
"County","Northampton","All","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","17","3.0","6","35.0","9","52.0","1","5.0","42","095","40.7545954","-75.31263726","POINT (-75.31263726 40.7545954)"
"County","Adams","Female","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","3","6.0","1","33.0","3","100.0","2","66.0","42","001","39.87209565","-77.22224271","POINT (-77.22224271 39.87209565)"
"County","Bradford","Male","All (0 to 99 years)","2020 Q1","1/1/2020-3/31/2020","2020","15","5.1","5","33.0","11","73.0","3","20.0","42","015","41.79117814","-76.51825624","POINT (-76.51825624 41.79117814)"
"County","Bedford","Male","All (0 to 99 years)","2021 Q1","1/1/2021-3/31/2021","2021","10","7.5","6","60.0","10","100.0","5","50.0","42","009","40.00737536","-78.49116474","POINT (-78.49116474 40.00737536)"
"County","Monroe","Female","All (0 to 99 years)","2021 Q3","7/1/2021-9/30/2021","2021","2","1.5","0","0.0","1","50.0","1","50.0","42","089","41.06091787","-75.34083603","POINT (-75.34083603 41.06091787)"
"County","Bedford","All","All (0 to 99 years)","2018 Q3","7/1/2018-9/30/2018","2018","9","3.4","2","22.2","5","55.6","2","22.2","42","009","40.00737536","-78.49116474","POINT (-78.49116474 40.00737536)"
"County","Mifflin","Male","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","6","5.3","1","16.7","5","83.3","1","16.7","42","087","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","Clearfield","Female","All (0 to 99 years)","2021 Q2","4/1/2021-6/30/2021","2021","4","4.0","1","25.0","3","75.0","2","50.0","42","033","41.000429","-78.47558343","POINT (-78.47558343 41.000429)"
"County","Clinton","Male","All (0 to 99 years)","2018 Annual","1/1/2018-12/31/2018","2018","30","4.8","8","26.7","24","80.0","12","40.0","42","035","41.23286274","-77.6428376","POINT (-77.6428376 41.23286274)"
"County","Clarion","Female","All (0 to 99 years)","2021 Q2","4/1/2021-6/30/2021","2021","0","0.0","0","0.0","0","0.0","0","0.0","42","031","41.19279129","-79.42483608","POINT (-79.42483608 41.19279129)"
"County","Beaver","Male","All (0 to 99 years)","Annual","1/1/2020-12-31-2020","2020","29","4.4","10","34.0","19","65.0","5","17.0","42","007","40.68349245","-80.35107422","POINT (-80.35107422 40.68349245)"
"County","Juniata","Female","All (0 to 99 years)","2020 Q4","10/1/2020-12/31/2020","2020","0","0.0","0","0.0","0","0.0","0","0.0","42","067","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"State","Commonwealth","Female","20 to 24 years","2018 Annual","1/1/2018-12/31/2018","2018","150","6.1","79","52.7","124","82.7","89","59.3","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Lancaster","Female","All (0 to 99 years)","2019 Annual","1/1/2019-12/31/2019","2019","37","6.4","20","54.1","34","91.9","22","59.5","42","071","40.04590796","-76.25138768","POINT (-76.25138768 40.04590796)"
"County","Chester","Male","All (0 to 99 years)","2017 Q3","7/1/2017-9/30/2017","2017","54","3.5","8","14.8","35","64.8","9","16.7","42","029","39.97487056","-75.75626498","POINT (-75.75626498 39.97487056)"
"County","Susquehanna","All","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","3","4.7","0","0.0","2","66.7","0","0.0","42","115","41.8205686","-75.80250303","POINT (-75.80250303 41.8205686)"
"County","Beaver","Female","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","0","0.0","0","0.0","0","0.0","0","0.0","42","007","40.68349245","-80.35107356","POINT (-80.35107356 40.68349245)"
"County","Delaware","Male","All (0 to 99 years)","2020 Q4","10/1/2020-12/31/2020","2020","36","4.7","13","36.0","28","77.0","12","33.0","42","045","39.91657867","-75.40627712","POINT (-75.40627712 39.91657867)"
"County","Union","All","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","3","5.7","0","0.0","3","100.0","1","33.0","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"County","York","All","All (0 to 99 years)","2022 Q3","7/1/2022-9/30/2022","2022","28","6.7","17","60.0","24","85.0","14","50.0","42","133","39.92192531","-76.72576141","POINT (-76.72576141 39.92192531)"
"County","Columbia","All","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","54","4.9","25","46.3","41","75.9","27","50.0","42","037","41.04912086","-76.4100218","POINT (-76.4100218 41.04912086)"
"State","Commonwealth","Female","56 to 99 years","2016 Q4","10/1/2016-12/31/2016","2016","10","2.3","2","20.0","3","30.0","3","30.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Erie","Male","All (0 to 99 years)","2018 Q3","7/1/2018-9/30/2018","2018","42","4.5","4","9.5","35","83.3","8","19.0","42","049","41.99413787","-80.0407591","POINT (-80.0407591 41.99413787)"
"County","Delaware","Male","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","122","4.5","30","24.6","90","73.8","39","32.0","42","045","39.91657867","-75.40627712","POINT (-75.40627712 39.91657867)"
"County","Montgomery","Male","All (0 to 99 years)","2019 Q4","10/1/2019-12/31/2019","2019","80","4.8","21","26.3","65","81.3","25","31.3","42","091","40.20989874","-75.37252001","POINT (-75.37252001 40.20989874)"
"County","Jefferson","All","All (0 to 99 years)","2022 Q3","7/1/2022-9/30/2022","2022","10","5.8","2","20.0","8","80.0","3","30.0","42","065","41.13139091","-79.00101471","POINT (-79.00101471 41.13139091)"
"County","Northampton","All","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","63","4.7","15","23.8","45","71.4","20","31.7","42","095","40.7545954","-75.31263726","POINT (-75.31263726 40.7545954)"
"County","Luzerne","Male","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","44","5.0","13","29.5","35","79.5","17","38.6","42","079","41.17836439","-75.9919961","POINT (-75.9919961 41.17836439)"
"County","Potter","Male","All (0 to 99 years)","2017 Annual","1/1/2017-12/31/2017","2017","14","5.6","5","35.7","12","85.7","7","50.0","42","105","41.74420644","-77.89879229","POINT (-77.89879229 41.74420644)"
"County","Forest","All","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","5","2.8","1","20.0","2","40.0","3","60.0","42","053","41.51357876","-79.23780995","POINT (-79.23780995 41.51357876)"
"County","Butler","All","All (0 to 99 years)","2021 Q2","4/1/2021-6/30/2021","2021","13","5.5","10","76.0","12","92.0","3","23.0","42","019","40.91083185","-79.91711779","POINT (-79.91711779 40.91083185)"
"County","McKean","Male","All (0 to 99 years)","2018 Q3","7/1/2018-9/30/2018","2018","6","5.0","0","0.0","6","100.0","2","33.3","42","083","41.81037074","-78.5712202","POINT (-78.5712202 41.81037074)"
"County","Bradford","Male","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","13","6.5","4","30.8","13","100.0","4","30.8","42","015","41.79117814","-76.51825624","POINT (-76.51825624 41.79117814)"
"County","Westmoreland","Male","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","30","4.5","9","30.0","24","80.0","10","33.3","42","129","40.310315","-79.47134118","POINT (-79.47134118 40.310315)"
"County","Indiana","Female","All (0 to 99 years)","2016 Q1","1/1/2016-3/31/2016","2016","4","7.8","3","75.0","4","100.0","2","50.0","42","063","40.65295497","-79.09333493","POINT (-79.09333493 40.65295497)"
"County","Luzerne","All","All (0 to 99 years)","2018 Q1","1/1/2018-3/31/2018","2018","64","5.2","18","28.1","52","81.3","26","40.6","42","079","41.17836439","-75.9919961","POINT (-75.9919961 41.17836439)"
"County","Huntingdon","Female","All (0 to 99 years)","2021 Q3","7/1/2021-9/30/2021","2021","2","4.5","1","50.0","1","50.0","0","0.0","42","061","40.416105","-77.9827661","POINT (-77.9827661 40.416105)"
"County","Mifflin","All","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","10","7.5","6","60.0","10","100.0","5","50.0","42","087","40.61274928","-77.62003089","POINT (-77.62003089 40.61274928)"
"County","Montour","All","All (0 to 99 years)","2020 Q4","10/1/2020-12/31/2020","2020","1","7.0","0","0.0","1","100.0","1","100.0","42","093","41.02801824","-76.66470527","POINT (-76.66470527 41.02801824)"
"County","Wayne","All","All (0 to 99 years)","2019 Q4","10/1/2019-12/31/2019","2019","9","5.2","4","44.4","8","88.9","7","77.8","42","127","41.64969805","-75.3051535","POINT (-75.3051535 41.64969805)"
"County","Franklin","Female","All (0 to 99 years)","Annual","1/1/2021-12/31/2021","2021","21","5.7","4","19.0","19","90.0","9","42.0","42","055","39.92786197","-77.72399139","POINT (-77.72399139 39.92786197)"
"County","Warren","Male","All (0 to 99 years)","2020 Q3","7/1/2020-9/30/2020","2020","11","7.5","8","72.0","11","100.0","7","63.0","42","123","41.81675237","-79.27858158","POINT (-79.27858158 41.81675237)"
"County","Adams","Female","All (0 to 99 years)","2022 Q2","4/1/2022-6/30/2022","2022","2","8.5","2","100.0","2","100.0","2","100.0","42","001","39.87209565","-77.22224426","POINT (-77.22224426 39.87209565)"
"State","Commonwealth","Female","56 to 99 years","2020 Q3","7/1/2020-9/30/2020","2020","2","8.0","1","50.0","2","100.0","2","100.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Mercer","Male","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","25","5.5","14","56.0","18","72.0","9","36.0","42","085","41.30237777","-80.26009411","POINT (-80.26009411 41.30237777)"
"County","Lebanon","Female","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","0","0.0","0","0.0","0","0.0","0","0.0","42","075","40.367597","-76.46182575","POINT (-76.46182575 40.367597)"
"County","Centre","All","All (0 to 99 years)","2018 Annual","1/1/2018-12/31/2018","2018","47","5.1","13","27.7","37","78.7","16","34.0","42","027","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Schuylkill","Male","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","53","4.7","10","18.9","42","79.2","16","30.2","42","107","40.70751243","-76.22332385","POINT (-76.22332385 40.70751243)"
"State","Commonwealth","Female","25 to 29 years","2019 Q4","10/1/2019-12/31/2019","2019","52","7.4","33","63.5","48","92.3","35","67.3","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","All (0 to 99 years)","2020 Q1","1/1/2020-3/31/2020","2020","216","6.1","61","28.0","183","84.0","107","49.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Butler","All","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","16","4.5","8","50.0","13","81.3","8","50.0","42","019","40.91083185","-79.91711779","POINT (-79.91711779 40.91083185)"
"State","Commonwealth","Female","40 to 44 years","2016 Q2","4/1/2016-6/30/2016","2016","29","4.6","14","48.3","20","69.0","12","41.4","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Clarion","Male","All (0 to 99 years)","2018 Q1","1/1/2018-3/31/2018","2018","8","6.4","4","50.0","7","87.5","5","62.5","42","031","41.19279129","-79.42483608","POINT (-79.42483608 41.19279129)"
"County","Clarion","Male","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","10","3.8","0","0.0","7","70.0","0","0.0","42","031","41.19279129","-79.42483608","POINT (-79.42483608 41.19279129)"
"County","Lehigh","Female","All (0 to 99 years)","2017 Q3","7/1/2017-9/30/2017","2017","3","2.7","1","33.3","1","33.3","1","33.3","42","077","40.61464794","-75.60099481","POINT (-75.60099481 40.61464794)"
"County","Northampton","Female","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","7","2.3","1","14.3","3","42.9","1","14.3","42","095","40.7545954","-75.31263726","POINT (-75.31263726 40.7545954)"
"County","Pike","Male","All (0 to 99 years)","2018 Q4","10/1/2018-12/31/2018","2018","6","3.7","3","50.0","3","50.0","3","50.0","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"County","Forest","All","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","2","0.0","0","0.0","0","0.0","1","50.0","42","053","41.51357876","-79.23780995","POINT (-79.23780995 41.51357876)"
"County","McKean","Male","All (0 to 99 years)","2019 Annual","1/1/2019-12/31/2019","2019","54","4.9","12","22.2","44","81.5","15","27.8","42","083","41.81037074","-78.5712202","POINT (-78.5712202 41.81037074)"
"State","Commonwealth","Female","All (0 to 99 years)","2021 Q2","4/1/2021-6/30/2021","2021","148","6.4","46","31.0","129","87.0","85","57.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Westmoreland","All","All (0 to 99 years)","2022 Q3","7/1/2022-9/30/2022","2022","27","5.7","12","44.0","22","81.0","10","37.0","42","129","40.310315","-79.47134399","POINT (-79.47134399 40.310315)"
"County","Cameron","Male","All (0 to 99 years)","2020 Q1","1/1/2020-3/31/2020","2020","2","6.0","2","100.0","2","100.0","1","50.0","42","023","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"County","Cameron","Male","All (0 to 99 years)","2018 Q2","4/1/2018-6/30/2018","2018","1","9.0","1","100.0","1","100.0","1","100.0","42","023","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"County","Montgomery","Male","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","84","4.0","23","27.4","58","69.0","27","32.1","42","091","40.20989874","-75.37252001","POINT (-75.37252001 40.20989874)"
"County","York","Male","All (0 to 99 years)","2019 Q4","10/1/2019-12/31/2019","2019","43","3.2","6","14.0","26","60.5","8","18.6","42","133","39.92192531","-76.72576052","POINT (-76.72576052 39.92192531)"
"County","Chester","Male","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","58","3.8","10","17.2","37","63.8","16","27.6","42","029","39.97487056","-75.75626498","POINT (-75.75626498 39.97487056)"
"County","Indiana","All","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","13","6.1","4","30.0","12","92.0","5","38.0","42","063","40.65295497","-79.09333493","POINT (-79.09333493 40.65295497)"
"State","Commonwealth","Female","56 to 99 years","2017 Q3","7/1/2017-9/30/2017","2017","8","3.9","4","50.0","5","62.5","3","37.5","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Somerset","Female","All (0 to 99 years)","2022 Q2","4/1/2022-6/30/2022","2022","0","0.0","0","0.0","0","0.0","0","0.0","42","111","39.97146299","-79.03100586","POINT (-79.03100586 39.97146299)"
"County","Cameron","All","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","3","7.0","3","100.0","3","100.0","2","66.7","42","023","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"County","Greene","Male","All (0 to 99 years)","2021 Q4","10/1/2021-12/31/2021","2021","3","8.7","3","100.0","3","100.0","2","66.0","42","059","39.85480393","-80.22943817","POINT (-80.22943817 39.85480393)"
"County","Mercer","Female","All (0 to 99 years)","2020 Q1","1/1/2020-3/31/2020","2020","2","8.5","1","50.0","2","100.0","2","100.0","42","085","41.30237777","-80.26009411","POINT (-80.26009411 41.30237777)"
"County","Clarion","All","All (0 to 99 years)","2016 Q2","4/1/2016-6/30/2016","2016","3","3.7","1","33.3","2","66.7","1","33.3","42","031","41.19279129","-79.42483608","POINT (-79.42483608 41.19279129)"
"County","Snyder","Male","All (0 to 99 years)","2017 Q4","10/1/2017-12/31/2017","2017","6","6.7","4","66.7","6","100.0","4","66.7","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
"County","Venango","Female","All (0 to 99 years)","2018 Q3","7/1/2018-9/30/2018","2018","12","5.2","2","16.7","10","83.3","6","50.0","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
"County","Philadelphia","Male","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","184","3.6","35","19.0","117","63.6","47","25.5","42","101","40.00444354","-75.140236","POINT (-75.140236 40.00444354)"
"County","Greene","Male","All (0 to 99 years)","2019 Q4","10/1/2019-12/31/2019","2019","2","5.0","1","50.0","1","50.0","1","50.0","42","059","39.85480393","-80.22943817","POINT (-80.22943817 39.85480393)"
"County","Carbon","All","All (0 to 99 years)","2016 Q1","1/1/2016-3/31/2016","2016","9","5.6","3","33.3","8","88.9","4","44.4","42","025","40.91936701","-75.71107039","POINT (-75.71107039 40.91936701)"
"County","Potter","Male","All (0 to 99 years)","2016 Q1","1/1/2016-3/31/2016","2016","5","4.2","2","40.0","3","60.0","3","60.0","42","105","41.74420644","-77.89879229","POINT (-77.89879229 41.74420644)"
"County","Montgomery","All","All (0 to 99 years)","2018 Annual","1/1/2018-12/31/2018","2018","416","3.9","90","21.6","279","67.1","114","27.4","42","091","40.20989874","-75.37252001","POINT (-75.37252001 40.20989874)"
"County","Venango","Female","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","6","8.7","4","66.7","6","100.0","3","50.0","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
"County","Lycoming","Male","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","30","4.4","9","30.0","22","73.3","11","36.7","42","081","41.34459792","-77.06942457","POINT (-77.06942457 41.34459792)"
"County","Washington","Male","All (0 to 99 years)","2022 Q1","1/1/2022-3/31/2022","2022","16","5.5","8","50.0","14","87.0","7","43.0","42","125","40.19109663","-80.25180083","POINT (-80.25180083 40.19109663)"
"State","Commonwealth","Female","30 to 34 years","2021 Q4","10/1/2021-12/31/2021","2021","31","7.2","12","38.0","29","93.0","21","67.0","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Crawford","All","All (0 to 99 years)","2019 Q3","7/1/2019-9/30/2019","2019","32","6.4","9","28.1","29","90.6","14","43.8","42","039","41.68546907","-80.11321083","POINT (-80.11321083 41.68546907)"
"County","Berks","Male","All (0 to 99 years)","2016 Q2","4/1/2016-6/30/2016","2016","76","3.1","14","18.4","42","55.3","16","21.1","42","011","40.41939635","-75.93077327","POINT (-75.93077327 40.41939635)"
